Waktu,Beban_MW,Suhu_C,Jam,Hari_Minggu,Bulan,Adalah_Libur
2022-01-04 20:00:00,94.52,26.4,20,1,1,0
2022-01-04 21:00:00,95.21,27.8,21,1,1,0
2022-01-04 22:00:00,83.09,28.7,22,1,1,0
2022-01-04 23:00:00,73.55,28.7,23,1,1,0
2022-01-05 00:00:00,50.44,30.7,0,2,1,0
2022-01-05 01:00:00,49.37,31.1,1,2,1,0
2022-01-05 02:00:00,50.89,31.0,2,2,1,0
2022-01-05 03:00:00,52.51,30.7,3,2,1,0
2022-01-05 04:00:00,51.86,29.3,4,2,1,0
2022-01-05 05:00:00,52.42,29.5,5,2,1,0
2022-01-05 06:00:00,59.47,28.7,6,2,1,0
2022-01-05 07:00:00,64.11,27.4,7,2,1,0
2022-01-05 08:00:00,69.32,26.9,8,2,1,0
2022-01-05 09:00:00,73.24,26.3,9,2,1,0
2022-01-05 10:00:00,76.56,26.5,10,2,1,0
2022-01-05 11:00:00,74.03,24.3,11,2,1,0
2022-01-05 12:00:00,78.87,23.7,12,2,1,0
2022-01-05 13:00:00,81.24,23.1,13,2,1,0
2022-01-05 14:00:00,82.53,21.5,14,2,1,0
2022-01-05 15:00:00,79.57,23.1,15,2,1,0
2022-01-05 16:00:00,82.51,23.6,16,2,1,0
2022-01-05 17:00:00,86.31,26.1,17,2,1,0
2022-01-05 18:00:00,88.19,24.8,18,2,1,0
2022-01-05 19:00:00,92.46,26.2,19,2,1,0
2022-01-05 20:00:00,96.38,27.0,20,2,1,0
2022-01-05 21:00:00,93.25,27.1,21,2,1,0
2022-01-05 22:00:00,82.86,29.9,22,2,1,0
2022-01-05 23:00:00,75.08,30.4,23,2,1,0
2022-01-06 00:00:00,51.5,31.1,0,3,1,0
2022-01-06 01:00:00,51.01,30.1,1,3,1,0
2022-01-06 02:00:00,56.55,32.1,2,3,1,0
2022-01-06 03:00:00,51.2,29.7,3,3,1,0
2022-01-06 04:00:00,54.63,30.9,4,3,1,0
2022-01-06 05:00:00,57.85,31.6,5,3,1,0
2022-01-06 06:00:00,60.34,28.2,6,3,1,0
2022-01-06 07:00:00,61.61,27.6,7,3,1,0
2022-01-06 08:00:00,69.61,27.1,8,3,1,0
2022-01-06 09:00:00,77.35,25.6,9,3,1,0
2022-01-06 10:00:00,81.05,23.8,10,3,1,0
2022-01-06 11:00:00,79.23,24.2,11,3,1,0
2022-01-06 12:00:00,78.55,22.7,12,3,1,0
2022-01-06 13:00:00,79.5,23.5,13,3,1,0
2022-01-06 14:00:00,85.78,22.3,14,3,1,0
2022-01-06 15:00:00,83.33,24.4,15,3,1,0
2022-01-06 16:00:00,80.75,22.9,16,3,1,0
2022-01-06 17:00:00,87.79,23.9,17,3,1,0
2022-01-06 18:00:00,90.2,25.7,18,3,1,0
2022-01-06 19:00:00,92.14,25.0,19,3,1,0
2022-01-06 20:00:00,90.99,27.2,20,3,1,0
2022-01-06 21:00:00,92.13,29.1,21,3,1,0
2022-01-06 22:00:00,80.39,27.7,22,3,1,0
2022-01-06 23:00:00,75.84,30.0,23,3,1,0
2022-01-07 00:00:00,49.79,30.7,0,4,1,0
2022-01-07 01:00:00,52.54,31.5,1,4,1,0
2022-01-07 02:00:00,52.71,30.0,2,4,1,0
2022-01-07 03:00:00,52.27,29.8,3,4,1,0
2022-01-07 04:00:00,54.25,30.9,4,4,1,0
2022-01-07 05:00:00,54.61,30.1,5,4,1,0
2022-01-07 06:00:00,58.91,29.2,6,4,1,0
2022-01-07 07:00:00,65.7,28.3,7,4,1,0
2022-01-07 08:00:00,70.05,26.5,8,4,1,0
2022-01-07 09:00:00,74.31,26.2,9,4,1,0
2022-01-07 10:00:00,78.23,25.2,10,4,1,0
2022-01-07 11:00:00,80.05,23.6,11,4,1,0
2022-01-07 12:00:00,77.02,25.0,12,4,1,0
2022-01-07 13:00:00,83.62,23.5,13,4,1,0
2022-01-07 14:00:00,82.73,22.0,14,4,1,0
2022-01-07 15:00:00,82.6,23.7,15,4,1,0
2022-01-07 16:00:00,83.79,22.8,16,4,1,0
2022-01-07 17:00:00,87.15,24.8,17,4,1,0
2022-01-07 18:00:00,91.36,25.9,18,4,1,0
2022-01-07 19:00:00,90.47,25.3,19,4,1,0
2022-01-07 20:00:00,89.93,27.8,20,4,1,0
2022-01-07 21:00:00,91.3,28.4,21,4,1,0
2022-01-07 22:00:00,84.92,29.7,22,4,1,0
2022-01-07 23:00:00,74.5,31.3,23,4,1,0
2022-01-08 00:00:00,46.38,30.3,0,5,1,1
2022-01-08 01:00:00,46.9,30.3,1,5,1,1
2022-01-08 02:00:00,47.97,30.3,2,5,1,1
2022-01-08 03:00:00,47.54,30.2,3,5,1,1
2022-01-08 04:00:00,48.83,30.4,4,5,1,1
2022-01-08 05:00:00,47.83,30.1,5,5,1,1
2022-01-08 06:00:00,54.14,29.2,6,5,1,1
2022-01-08 07:00:00,58.18,28.7,7,5,1,1
2022-01-08 08:00:00,63.44,27.0,8,5,1,1
2022-01-08 09:00:00,70.14,27.1,9,5,1,1
2022-01-08 10:00:00,68.04,24.8,10,5,1,1
2022-01-08 11:00:00,70.12,26.3,11,5,1,1
2022-01-08 12:00:00,71.73,24.0,12,5,1,1
2022-01-08 13:00:00,71.51,22.5,13,5,1,1
2022-01-08 14:00:00,73.62,22.1,14,5,1,1
2022-01-08 15:00:00,74.73,23.5,15,5,1,1
2022-01-08 16:00:00,73.39,23.4,16,5,1,1
2022-01-08 17:00:00,81.64,24.7,17,5,1,1
2022-01-08 18:00:00,77.98,25.4,18,5,1,1
2022-01-08 19:00:00,84.08,25.9,19,5,1,1
2022-01-08 20:00:00,84.61,26.3,20,5,1,1
2022-01-08 21:00:00,82.78,26.8,21,5,1,1
2022-01-08 22:00:00,73.29,28.6,22,5,1,1
2022-01-08 23:00:00,64.57,30.5,23,5,1,1
2022-01-09 00:00:00,44.43,30.6,0,6,1,1
2022-01-09 01:00:00,46.28,29.9,1,6,1,1
2022-01-09 02:00:00,47.54,31.1,2,6,1,1
2022-01-09 03:00:00,49.8,31.2,3,6,1,1
2022-01-09 04:00:00,47.19,29.8,4,6,1,1
2022-01-09 05:00:00,49.73,30.0,5,6,1,1
2022-01-09 06:00:00,51.9,29.0,6,6,1,1
2022-01-09 07:00:00,56.46,27.1,7,6,1,1
2022-01-09 08:00:00,62.51,27.3,8,6,1,1
2022-01-09 09:00:00,66.62,26.4,9,6,1,1
2022-01-09 10:00:00,66.6,25.9,10,6,1,1
2022-01-09 11:00:00,70.03,25.0,11,6,1,1
2022-01-09 12:00:00,71.39,22.4,12,6,1,1
2022-01-09 13:00:00,75.08,22.4,13,6,1,1
2022-01-09 14:00:00,75.46,23.4,14,6,1,1
2022-01-09 15:00:00,75.92,23.5,15,6,1,1
2022-01-09 16:00:00,75.1,23.9,16,6,1,1
2022-01-09 17:00:00,79.92,27.3,17,6,1,1
2022-01-09 18:00:00,78.48,25.5,18,6,1,1
2022-01-09 19:00:00,82.31,26.9,19,6,1,1
2022-01-09 20:00:00,84.49,27.8,20,6,1,1
2022-01-09 21:00:00,86.55,28.6,21,6,1,1
2022-01-09 22:00:00,75.96,28.7,22,6,1,1
2022-01-09 23:00:00,69.3,30.4,23,6,1,1
2022-01-10 00:00:00,48.05,29.8,0,0,1,0
2022-01-10 01:00:00,50.8,30.7,1,0,1,0
2022-01-10 02:00:00,52.43,30.6,2,0,1,0
2022-01-10 03:00:00,54.55,30.9,3,0,1,0
2022-01-10 04:00:00,55.9,32.3,4,0,1,0
2022-01-10 05:00:00,53.0,28.3,5,0,1,0
2022-01-10 06:00:00,60.0,29.5,6,0,1,0
2022-01-10 07:00:00,62.67,26.7,7,0,1,0
2022-01-10 08:00:00,71.85,26.6,8,0,1,0
2022-01-10 09:00:00,73.81,26.8,9,0,1,0
2022-01-10 10:00:00,73.69,25.1,10,0,1,0
2022-01-10 11:00:00,78.15,23.3,11,0,1,0
2022-01-10 12:00:00,81.82,23.0,12,0,1,0
2022-01-10 13:00:00,82.09,23.7,13,0,1,0
2022-01-10 14:00:00,83.37,22.4,14,0,1,0
2022-01-10 15:00:00,82.2,23.3,15,0,1,0
2022-01-10 16:00:00,81.89,23.6,16,0,1,0
2022-01-10 17:00:00,85.43,23.7,17,0,1,0
2022-01-10 18:00:00,85.6,26.7,18,0,1,0
2022-01-10 19:00:00,91.51,26.5,19,0,1,0
2022-01-10 20:00:00,95.08,25.4,20,0,1,0
2022-01-10 21:00:00,93.8,28.2,21,0,1,0
2022-01-10 22:00:00,84.17,28.5,22,0,1,0
2022-01-10 23:00:00,77.23,30.5,23,0,1,0
2022-01-11 00:00:00,49.36,29.8,0,1,1,0
2022-01-11 01:00:00,51.12,30.8,1,1,1,0
2022-01-11 02:00:00,52.14,31.4,2,1,1,0
2022-01-11 03:00:00,56.27,31.6,3,1,1,0
2022-01-11 04:00:00,53.23,29.5,4,1,1,0
2022-01-11 05:00:00,52.81,29.6,5,1,1,0
2022-01-11 06:00:00,57.23,28.6,6,1,1,0
2022-01-11 07:00:00,65.71,27.5,7,1,1,0
2022-01-11 08:00:00,68.17,28.4,8,1,1,0
2022-01-11 09:00:00,77.91,26.3,9,1,1,0
2022-01-11 10:00:00,72.41,24.0,10,1,1,0
2022-01-11 11:00:00,80.35,24.9,11,1,1,0
2022-01-11 12:00:00,79.9,25.2,12,1,1,0
2022-01-11 13:00:00,81.33,24.0,13,1,1,0
2022-01-11 14:00:00,81.85,21.8,14,1,1,0
2022-01-11 15:00:00,85.24,22.7,15,1,1,0
2022-01-11 16:00:00,83.3,24.5,16,1,1,0
2022-01-11 17:00:00,86.56,23.6,17,1,1,0
2022-01-11 18:00:00,86.57,25.4,18,1,1,0
2022-01-11 19:00:00,91.47,26.6,19,1,1,0
2022-01-11 20:00:00,92.65,26.3,20,1,1,0
2022-01-11 21:00:00,90.33,28.0,21,1,1,0
2022-01-11 22:00:00,83.05,26.4,22,1,1,0
2022-01-11 23:00:00,72.28,29.0,23,1,1,0
2022-01-12 00:00:00,49.65,30.3,0,2,1,0
2022-01-12 01:00:00,50.87,29.9,1,2,1,0
2022-01-12 02:00:00,55.54,32.3,2,2,1,0
2022-01-12 03:00:00,52.85,29.7,3,2,1,0
2022-01-12 04:00:00,52.66,30.1,4,2,1,0
2022-01-12 05:00:00,54.56,29.9,5,2,1,0
2022-01-12 06:00:00,60.11,30.2,6,2,1,0
2022-01-12 07:00:00,62.4,26.9,7,2,1,0
2022-01-12 08:00:00,70.17,27.9,8,2,1,0
2022-01-12 09:00:00,77.91,26.0,9,2,1,0
2022-01-12 10:00:00,76.68,24.2,10,2,1,0
2022-01-12 11:00:00,75.64,24.5,11,2,1,0
2022-01-12 12:00:00,79.18,23.7,12,2,1,0
2022-01-12 13:00:00,79.17,22.7,13,2,1,0
2022-01-12 14:00:00,83.55,23.1,14,2,1,0
2022-01-12 15:00:00,83.0,22.8,15,2,1,0
2022-01-12 16:00:00,81.86,23.6,16,2,1,0
2022-01-12 17:00:00,87.56,24.7,17,2,1,0
2022-01-12 18:00:00,89.27,26.3,18,2,1,0
2022-01-12 19:00:00,91.17,25.0,19,2,1,0
2022-01-12 20:00:00,91.23,28.7,20,2,1,0
2022-01-12 21:00:00,90.57,26.5,21,2,1,0
2022-01-12 22:00:00,85.03,28.9,22,2,1,0
2022-01-12 23:00:00,74.12,30.3,23,2,1,0
2022-01-13 00:00:00,50.28,30.7,0,3,1,0
2022-01-13 01:00:00,51.04,30.4,1,3,1,0
2022-01-13 02:00:00,52.57,30.8,2,3,1,0
2022-01-13 03:00:00,51.69,30.5,3,3,1,0
2022-01-13 04:00:00,51.54,30.0,4,3,1,0
2022-01-13 05:00:00,54.26,30.5,5,3,1,0
2022-01-13 06:00:00,59.42,29.3,6,3,1,0
2022-01-13 07:00:00,63.17,27.5,7,3,1,0
2022-01-13 08:00:00,69.12,27.7,8,3,1,0
2022-01-13 09:00:00,78.32,26.2,9,3,1,0
2022-01-13 10:00:00,73.8,25.7,10,3,1,0
2022-01-13 11:00:00,76.95,24.7,11,3,1,0
2022-01-13 12:00:00,82.13,22.9,12,3,1,0
2022-01-13 13:00:00,81.06,22.7,13,3,1,0
2022-01-13 14:00:00,80.98,23.6,14,3,1,0
2022-01-13 15:00:00,84.05,23.6,15,3,1,0
2022-01-13 16:00:00,82.23,23.5,16,3,1,0
2022-01-13 17:00:00,87.53,24.3,17,3,1,0
2022-01-13 18:00:00,89.99,26.0,18,3,1,0
2022-01-13 19:00:00,89.95,25.5,19,3,1,0
2022-01-13 20:00:00,90.77,27.4,20,3,1,0
2022-01-13 21:00:00,92.94,27.9,21,3,1,0
2022-01-13 22:00:00,81.46,28.8,22,3,1,0
2022-01-13 23:00:00,75.18,30.7,23,3,1,0
2022-01-14 00:00:00,50.94,31.1,0,4,1,0
2022-01-14 01:00:00,52.92,31.5,1,4,1,0
2022-01-14 02:00:00,54.81,32.0,2,4,1,0
2022-01-14 03:00:00,52.95,30.9,3,4,1,0
2022-01-14 04:00:00,55.01,31.0,4,4,1,0
2022-01-14 05:00:00,54.33,29.6,5,4,1,0
2022-01-14 06:00:00,59.34,29.3,6,4,1,0
2022-01-14 07:00:00,63.49,27.9,7,4,1,0
2022-01-14 08:00:00,68.19,27.1,8,4,1,0
2022-01-14 09:00:00,75.88,26.4,9,4,1,0
2022-01-14 10:00:00,74.02,24.3,10,4,1,0
2022-01-14 11:00:00,77.71,25.8,11,4,1,0
2022-01-14 12:00:00,75.1,22.7,12,4,1,0
2022-01-14 13:00:00,78.97,22.2,13,4,1,0
2022-01-14 14:00:00,80.7,23.9,14,4,1,0
2022-01-14 15:00:00,83.94,23.8,15,4,1,0
2022-01-14 16:00:00,83.27,24.0,16,4,1,0
2022-01-14 17:00:00,87.17,24.7,17,4,1,0
2022-01-14 18:00:00,90.95,25.0,18,4,1,0
2022-01-14 19:00:00,92.77,25.2,19,4,1,0
2022-01-14 20:00:00,92.36,27.1,20,4,1,0
2022-01-14 21:00:00,90.58,27.5,21,4,1,0
2022-01-14 22:00:00,83.75,29.8,22,4,1,0
2022-01-14 23:00:00,73.82,29.7,23,4,1,0
2022-01-15 00:00:00,43.05,29.8,0,5,1,1
2022-01-15 01:00:00,46.45,30.6,1,5,1,1
2022-01-15 02:00:00,48.11,31.3,2,5,1,1
2022-01-15 03:00:00,48.11,30.4,3,5,1,1
2022-01-15 04:00:00,48.13,29.8,4,5,1,1
2022-01-15 05:00:00,49.75,30.0,5,5,1,1
2022-01-15 06:00:00,52.77,29.2,6,5,1,1
2022-01-15 07:00:00,57.95,27.6,7,5,1,1
2022-01-15 08:00:00,62.1,26.6,8,5,1,1
2022-01-15 09:00:00,66.74,26.2,9,5,1,1
2022-01-15 10:00:00,71.01,23.8,10,5,1,1
2022-01-15 11:00:00,67.13,23.0,11,5,1,1
2022-01-15 12:00:00,72.6,23.0,12,5,1,1
2022-01-15 13:00:00,72.02,23.0,13,5,1,1
2022-01-15 14:00:00,72.69,23.2,14,5,1,1
2022-01-15 15:00:00,74.35,24.3,15,5,1,1
2022-01-15 16:00:00,71.48,24.2,16,5,1,1
2022-01-15 17:00:00,77.9,24.0,17,5,1,1
2022-01-15 18:00:00,79.16,25.0,18,5,1,1
2022-01-15 19:00:00,81.63,25.2,19,5,1,1
2022-01-15 20:00:00,81.9,27.0,20,5,1,1
2022-01-15 21:00:00,86.82,27.8,21,5,1,1
2022-01-15 22:00:00,78.17,29.3,22,5,1,1
2022-01-15 23:00:00,63.1,29.2,23,5,1,1
2022-01-16 00:00:00,46.07,30.9,0,6,1,1
2022-01-16 01:00:00,48.73,32.1,1,6,1,1
2022-01-16 02:00:00,47.9,30.9,2,6,1,1
2022-01-16 03:00:00,47.95,31.2,3,6,1,1
2022-01-16 04:00:00,49.02,31.0,4,6,1,1
2022-01-16 05:00:00,47.59,29.5,5,6,1,1
2022-01-16 06:00:00,52.49,29.2,6,6,1,1
2022-01-16 07:00:00,56.15,28.0,7,6,1,1
2022-01-16 08:00:00,62.49,27.1,8,6,1,1
2022-01-16 09:00:00,65.36,25.3,9,6,1,1
2022-01-16 10:00:00,68.66,25.0,10,6,1,1
2022-01-16 11:00:00,68.37,24.6,11,6,1,1
2022-01-16 12:00:00,71.55,24.7,12,6,1,1
2022-01-16 13:00:00,71.92,23.9,13,6,1,1
2022-01-16 14:00:00,74.4,24.7,14,6,1,1
2022-01-16 15:00:00,75.7,22.5,15,6,1,1
2022-01-16 16:00:00,76.53,24.2,16,6,1,1
2022-01-16 17:00:00,74.88,24.3,17,6,1,1
2022-01-16 18:00:00,79.19,26.8,18,6,1,1
2022-01-16 19:00:00,81.48,25.3,19,6,1,1
2022-01-16 20:00:00,84.24,26.3,20,6,1,1
2022-01-16 21:00:00,80.77,27.6,21,6,1,1
2022-01-16 22:00:00,73.19,27.3,22,6,1,1
2022-01-16 23:00:00,66.48,29.4,23,6,1,1
2022-01-17 00:00:00,49.24,29.9,0,0,1,0
2022-01-17 01:00:00,51.85,31.0,1,0,1,0
2022-01-17 02:00:00,53.29,31.3,2,0,1,0
2022-01-17 03:00:00,55.51,32.4,3,0,1,0
2022-01-17 04:00:00,54.93,31.2,4,0,1,0
2022-01-17 05:00:00,53.63,29.4,5,0,1,0
2022-01-17 06:00:00,59.38,28.3,6,0,1,0
2022-01-17 07:00:00,61.24,28.4,7,0,1,0
2022-01-17 08:00:00,71.76,25.9,8,0,1,0
2022-01-17 09:00:00,71.82,27.4,9,0,1,0
2022-01-17 10:00:00,74.98,25.9,10,0,1,0
2022-01-17 11:00:00,77.78,23.8,11,0,1,0
2022-01-17 12:00:00,80.19,22.2,12,0,1,0
2022-01-17 13:00:00,76.28,24.2,13,0,1,0
2022-01-17 14:00:00,82.09,22.9,14,0,1,0
2022-01-17 15:00:00,83.44,24.1,15,0,1,0
2022-01-17 16:00:00,83.77,22.3,16,0,1,0
2022-01-17 17:00:00,86.92,23.7,17,0,1,0
2022-01-17 18:00:00,89.11,25.0,18,0,1,0
2022-01-17 19:00:00,90.03,26.0,19,0,1,0
2022-01-17 20:00:00,91.93,26.6,20,0,1,0
2022-01-17 21:00:00,91.24,28.5,21,0,1,0
2022-01-17 22:00:00,81.66,28.1,22,0,1,0
2022-01-17 23:00:00,74.6,29.7,23,0,1,0
2022-01-18 00:00:00,50.13,30.6,0,1,1,0
2022-01-18 01:00:00,52.32,31.3,1,1,1,0
2022-01-18 02:00:00,53.42,31.6,2,1,1,0
2022-01-18 03:00:00,53.0,30.0,3,1,1,0
2022-01-18 04:00:00,53.24,29.2,4,1,1,0
2022-01-18 05:00:00,53.52,30.9,5,1,1,0
2022-01-18 06:00:00,57.96,29.3,6,1,1,0
2022-01-18 07:00:00,63.81,27.4,7,1,1,0
2022-01-18 08:00:00,69.58,28.2,8,1,1,0
2022-01-18 09:00:00,74.12,26.1,9,1,1,0
2022-01-18 10:00:00,78.02,25.9,10,1,1,0
2022-01-18 11:00:00,81.22,24.2,11,1,1,0
2022-01-18 12:00:00,79.43,25.2,12,1,1,0
2022-01-18 13:00:00,81.27,24.5,13,1,1,0
2022-01-18 14:00:00,83.53,22.8,14,1,1,0
2022-01-18 15:00:00,79.08,23.9,15,1,1,0
2022-01-18 16:00:00,82.18,24.1,16,1,1,0
2022-01-18 17:00:00,89.87,25.3,17,1,1,0
2022-01-18 18:00:00,88.5,24.2,18,1,1,0
2022-01-18 19:00:00,88.92,26.5,19,1,1,0
2022-01-18 20:00:00,92.31,27.8,20,1,1,0
2022-01-18 21:00:00,93.04,26.6,21,1,1,0
2022-01-18 22:00:00,81.63,28.1,22,1,1,0
2022-01-18 23:00:00,76.18,28.2,23,1,1,0
2022-01-19 00:00:00,49.06,30.2,0,2,1,0
2022-01-19 01:00:00,50.83,31.4,1,2,1,0
2022-01-19 02:00:00,53.83,32.2,2,2,1,0
2022-01-19 03:00:00,54.29,30.9,3,2,1,0
2022-01-19 04:00:00,55.46,31.8,4,2,1,0
2022-01-19 05:00:00,53.6,28.7,5,2,1,0
2022-01-19 06:00:00,57.58,27.6,6,2,1,0
2022-01-19 07:00:00,66.01,28.0,7,2,1,0
2022-01-19 08:00:00,70.4,27.3,8,2,1,0
2022-01-19 09:00:00,76.7,25.9,9,2,1,0
2022-01-19 10:00:00,77.19,23.3,10,2,1,0
2022-01-19 11:00:00,79.42,24.1,11,2,1,0
2022-01-19 12:00:00,77.75,22.5,12,2,1,0
2022-01-19 13:00:00,80.34,23.7,13,2,1,0
2022-01-19 14:00:00,84.34,23.3,14,2,1,0
2022-01-19 15:00:00,84.69,22.4,15,2,1,0
2022-01-19 16:00:00,80.26,23.1,16,2,1,0
2022-01-19 17:00:00,88.59,23.3,17,2,1,0
2022-01-19 18:00:00,88.88,24.9,18,2,1,0
2022-01-19 19:00:00,89.88,26.7,19,2,1,0
2022-01-19 20:00:00,93.18,26.2,20,2,1,0
2022-01-19 21:00:00,95.28,28.4,21,2,1,0
2022-01-19 22:00:00,83.89,28.6,22,2,1,0
2022-01-19 23:00:00,72.9,29.2,23,2,1,0
2022-01-20 00:00:00,50.25,30.4,0,3,1,0
2022-01-20 01:00:00,49.93,30.0,1,3,1,0
2022-01-20 02:00:00,52.42,30.6,2,3,1,0
2022-01-20 03:00:00,53.59,29.9,3,3,1,0
2022-01-20 04:00:00,53.53,32.0,4,3,1,0
2022-01-20 05:00:00,55.01,29.9,5,3,1,0
2022-01-20 06:00:00,56.8,28.4,6,3,1,0
2022-01-20 07:00:00,65.68,28.2,7,3,1,0
2022-01-20 08:00:00,68.73,26.9,8,3,1,0
2022-01-20 09:00:00,73.3,25.8,9,3,1,0
2022-01-20 10:00:00,77.69,25.5,10,3,1,0
2022-01-20 11:00:00,78.7,24.8,11,3,1,0
2022-01-20 12:00:00,77.55,23.1,12,3,1,0
2022-01-20 13:00:00,79.11,22.7,13,3,1,0
2022-01-20 14:00:00,81.83,22.8,14,3,1,0
2022-01-20 15:00:00,80.16,21.3,15,3,1,0
2022-01-20 16:00:00,80.4,22.3,16,3,1,0
2022-01-20 17:00:00,88.35,25.3,17,3,1,0
2022-01-20 18:00:00,87.92,26.3,18,3,1,0
2022-01-20 19:00:00,91.93,25.8,19,3,1,0
2022-01-20 20:00:00,95.41,27.5,20,3,1,0
2022-01-20 21:00:00,92.88,28.3,21,3,1,0
2022-01-20 22:00:00,86.35,31.5,22,3,1,0
